This file is reserved for keeping a catalog that matches image # with type of unit

> to categorize format: tile activity, tile color, tile type, unit activity, unit color, unit type. 
> Activity: active, inactive, NONE (tile only)
> color: red, blue, NONE (tile only)
> unit types: infantry, tank, recon, antiair, fighter, attackheli
> tile types: grass, road, factory, water, mountain, city, forest

000 = grass
001 = road
002 = factory
003 = water
004 = mountain
005 = city
006 = forest
007 = red city
008 = active red factory
009 = inactive red factory
010 = blue city
011 = active blue factory
012 = inactive blue factory
013 = grass active red infantry
014 = grass inactive red infantry
015 = grass active red tank
016 = grass inactive red tank
017 = grass active red recon
018 = grass inactive red recon
019 = grass active red antiair
020 = grass inactive red antiair
021 = grass active red fighter
022 = grass inactive red fighter
023 = grass active red attackheli
024 = grass inactive red attackheli
025 = grass active blue infantry
026 = grass inactive blue infantry
027 = grass active blue tank
028 = grass inactive blue tank
029 = grass active blue recon
030 = grass inactive blue recon
031 = grass active blue antiair
032 = grass inactive blue antiair
033 = grass active blue fighter
034 = grass inactive blue fighter
035 = grass active blue attackheli
036 = grass inactive blue attackheli
037 = road active red infantry
038 = road inactive red infantry
039 = road active red tank
040 = road inactive red tank
041 = road active red recon
042 = road inactive red recon
043 = road active red antiair
044 = road inactive red antiair
045 = road active red fighter
046 = road inactive red fighter
047 = road active red attackheli
048 = road inactive red attackheli
049 = road active blue infantry
050 = road inactive blue infantry
051 = road active blue tank
052 = road inactive blue tank
053 = road active blue recon
054 = road inactive blue recon
055 = road active blue antiair
056 = road inactive blue antiair
057 = road active blue fighter
058 = road inactive blue fighter
059 = road active blue attackheli
060 = road inactive blue attackheli
061 = factory active red infantry
062 = factory inactive red infantry
063 = factory active red tank
064 = factory inactive red tank
065 = factory active red recon
066 = factory inactive red recon
067 = factory active red antiair
068 = factory inactive red antiair
069 = factory active red fighter
070 = factory inactive red fighter
071 = factory active red attackheli
072 = factory inactive red attackheli
073 = factory active blue infantry
074 = factory inactive blue infantry
075 = factory active blue tank
076 = factory inactive blue tank
077 = factory active blue recon
078 = factory inactive blue recon
079 = factory active blue antiair
080 = factory inactive blue antiair
081 = factory active blue fighter
082 = factory inactive blue fighter
083 = factory active blue attackheli
084 = factory inactive blue attackheli
085 = mountain active red infantry
086 = mountain inactive red infantry
087 = mountain active red fighter
088 = mountain inactive red fighter
089 = mountain active red attackheli
